State,County,NAICS Code,NAICS Description,Total CBP and NES Establishments,CBP Establishments Percentage,NES Establishments Percentage,CBP Establishments
Indiana,Wells,7225,Restaurants and Other Eating Places,35,82.9,17.1,29
Indiana,White,7225,Restaurants and Other Eating Places,D,D,D,47
Indiana,Whitley,7225,Restaurants and Other Eating Places,S,S,S,50
Iowa,Adair,7225,Restaurants and Other Eating Places,D,D,D,10
Iowa,Allamakee,7225,Restaurants and Other Eating Places,D,D,D,29
Iowa,Appanoose,7225,Restaurants and Other Eating Places,D,D,D,18
Iowa,Benton,7225,Restaurants and Other Eating Places,D,D,D,17
Iowa,Black Hawk,7225,Restaurants and Other Eating Places,229,94.3,5.7,216
Iowa,Boone,7225,Restaurants and Other Eating Places,34,82.4,17.6,28
Iowa,Bremer,7225,Restaurants and Other Eating Places,D,D,D,36
Iowa,Buchanan,7225,Restaurants and Other Eating Places,D,D,D,24
Iowa,Buena Vista,7225,Restaurants and Other Eating Places,34,73.5,26.5,25
Iowa,Butler,7225,Restaurants and Other Eating Places,16,81.3,18.8,13
Iowa,Calhoun,7225,Restaurants and Other Eating Places,D,D,D,12
Iowa,Carroll,7225,Restaurants and Other Eating Places,37,86.5,13.5,32
Iowa,Cass,7225,Restaurants and Other Eating Places,27,81.5,18.5,22
Iowa,Cedar,7225,Restaurants and Other Eating Places,35,68.6,31.4,24
Iowa,Cerro Gordo,7225,Restaurants and Other Eating Places,110,87.3,12.7,96
Iowa,Cherokee,7225,Restaurants and Other Eating Places,21,85.7,14.3,18
Iowa,Chickasaw,7225,Restaurants and Other Eating Places,21,85.7,14.3,18
Iowa,Clarke,7225,Restaurants and Other Eating Places,12,75,25,9
Iowa,Clay,7225,Restaurants and Other Eating Places,50,88,12,44
Iowa,Clayton,7225,Restaurants and Other Eating Places,41,85.4,14.6,35
Iowa,Clinton,7225,Restaurants and Other Eating Places,80,87.5,12.5,70
Iowa,Crawford,7225,Restaurants and Other Eating Places,26,76.9,23.1,20
Iowa,Dallas,7225,Restaurants and Other Eating Places,139,89.2,10.8,124
Iowa,Davis,7225,Restaurants and Other Eating Places,12,66.7,33.3,8
Iowa,Decatur,7225,Restaurants and Other Eating Places,10,70,30,7
Iowa,Delaware,7225,Restaurants and Other Eating Places,D,D,D,18
Iowa,Des Moines,7225,Restaurants and Other Eating Places,82,95.1,4.9,78
Iowa,Dickinson,7225,Restaurants and Other Eating Places,59,89.8,10.2,53
Iowa,Dubuque,7225,Restaurants and Other Eating Places,181,89.5,10.5,162
Iowa,Emmet,7225,Restaurants and Other Eating Places,D,D,D,16
Iowa,Fayette,7225,Restaurants and Other Eating Places,32,84.4,15.6,27
Iowa,Floyd,7225,Restaurants and Other Eating Places,D,D,D,25
Iowa,Franklin,7225,Restaurants and Other Eating Places,16,75,25,12
Iowa,Fremont,7225,Restaurants and Other Eating Places,D,D,D,11
Iowa,Greene,7225,Restaurants and Other Eating Places,D,D,D,16
Iowa,Grundy,7225,Restaurants and Other Eating Places,D,D,D,12
Iowa,Guthrie,7225,Restaurants and Other Eating Places,D,D,D,12
Iowa,Hamilton,7225,Restaurants and Other Eating Places,23,73.9,26.1,17
Iowa,Hancock,7225,Restaurants and Other Eating Places,15,73.3,26.7,11
Iowa,Hardin,7225,Restaurants and Other Eating Places,26,80.8,19.2,21
Iowa,Harrison,7225,Restaurants and Other Eating Places,D,D,D,17
Iowa,Henry,7225,Restaurants and Other Eating Places,D,D,D,32
Iowa,Howard,7225,Restaurants and Other Eating Places,D,D,D,12
Iowa,Humboldt,7225,Restaurants and Other Eating Places,D,D,D,15
Iowa,Ida,7225,Restaurants and Other Eating Places,D,D,D,7
Iowa,Iowa,7225,Restaurants and Other Eating Places,D,D,D,18
Iowa,Jackson,7225,Restaurants and Other Eating Places,37,89.2,10.8,33
Iowa,Jasper,7225,Restaurants and Other Eating Places,46,84.8,15.2,39
Iowa,Jefferson,7225,Restaurants and Other Eating Places,39,82.1,17.9,32
Iowa,Johnson,7225,Restaurants and Other Eating Places,338,92.6,7.4,313
Iowa,Jones,7225,Restaurants and Other Eating Places,28,82.1,17.9,23
Iowa,Keokuk,7225,Restaurants and Other Eating Places,D,D,D,7
Iowa,Kossuth,7225,Restaurants and Other Eating Places,30,76.7,23.3,23
Iowa,Lee,7225,Restaurants and Other Eating Places,71,83.1,16.9,59
Iowa,Linn,7225,Restaurants and Other Eating Places,428,91.4,8.6,391
Iowa,Louisa,7225,Restaurants and Other Eating Places,17,70.6,29.4,12
Iowa,Lucas,7225,Restaurants and Other Eating Places,13,69.2,30.8,9
Iowa,Lyon,7225,Restaurants and Other Eating Places,15,80,20,12
Iowa,Madison,7225,Restaurants and Other Eating Places,18,83.3,16.7,15
Iowa,Mahaska,7225,Restaurants and Other Eating Places,28,89.3,10.7,25
Iowa,Marion,7225,Restaurants and Other Eating Places,D,D,D,47
Iowa,Marshall,7225,Restaurants and Other Eating Places,56,83.9,16.1,47
Iowa,Mills,7225,Restaurants and Other Eating Places,D,D,D,14
Iowa,Mitchell,7225,Restaurants and Other Eating Places,17,82.4,17.6,14
Iowa,Monona,7225,Restaurants and Other Eating Places,17,82.4,17.6,14
Iowa,Monroe,7225,Restaurants and Other Eating Places,16,81.3,18.8,13
Iowa,Montgomery,7225,Restaurants and Other Eating Places,19,78.9,21.1,15
Iowa,Muscatine,7225,Restaurants and Other Eating Places,74,95.9,4.1,71
Iowa,O'Brien,7225,Restaurants and Other Eating Places,26,84.6,15.4,22
Iowa,Osceola,7225,Restaurants and Other Eating Places,D,D,D,7
Iowa,Page,7225,Restaurants and Other Eating Places,26,84.6,15.4,22
Iowa,Palo Alto,7225,Restaurants and Other Eating Places,D,D,D,21
Iowa,Plymouth,7225,Restaurants and Other Eating Places,45,86.7,13.3,39
Iowa,Polk,7225,Restaurants and Other Eating Places,948,90.7,9.3,860
Iowa,Pottawattamie,7225,Restaurants and Other Eating Places,144,93.8,6.3,135
Iowa,Poweshiek,7225,Restaurants and Other Eating Places,D,D,D,33
Iowa,Sac,7225,Restaurants and Other Eating Places,20,75,25,15
Iowa,Scott,7225,Restaurants and Other Eating Places,319,94.4,5.6,301
Iowa,Shelby,7225,Restaurants and Other Eating Places,17,76.5,23.5,13
Iowa,Sioux,7225,Restaurants and Other Eating Places,64,76.6,23.4,49
Iowa,Story,7225,Restaurants and Other Eating Places,170,91.2,8.8,155
Iowa,Tama,7225,Restaurants and Other Eating Places,23,82.6,17.4,19
Iowa,Taylor,7225,Restaurants and Other Eating Places,D,D,D,4
Iowa,Van Buren,7225,Restaurants and Other Eating Places,D,D,D,7
Iowa,Wapello,7225,Restaurants and Other Eating Places,65,89.2,10.8,58
Iowa,Warren,7225,Restaurants and Other Eating Places,59,74.6,25.4,44
Iowa,Washington,7225,Restaurants and Other Eating Places,35,88.6,11.4,31
Iowa,Wayne,7225,Restaurants and Other Eating Places,D,D,D,5
Iowa,Webster,7225,Restaurants and Other Eating Places,64,92.2,7.8,59
Iowa,Winneshiek,7225,Restaurants and Other Eating Places,41,87.8,12.2,36
Iowa,Woodbury,7225,Restaurants and Other Eating Places,213,91.1,8.9,194
Iowa,Wright,7225,Restaurants and Other Eating Places,28,85.7,14.3,24
Kansas,Allen,7225,Restaurants and Other Eating Places,25,84,16,21
Kansas,Anderson,7225,Restaurants and Other Eating Places,D,D,D,13
Kansas,Atchison,7225,Restaurants and Other Eating Places,25,84,16,21
Kansas,Barber,7225,Restaurants and Other Eating Places,14,64.3,35.7,9
Kansas,Barton,7225,Restaurants and Other Eating Places,49,91.8,8.2,45
Kansas,Bourbon,7225,Restaurants and Other Eating Places,D,D,D,23
Kansas,Brown,7225,Restaurants and Other Eating Places,24,79.2,20.8,19
Kansas,Butler,7225,Restaurants and Other Eating Places,97,89.7,10.3,87
Kansas,Chautauqua,7225,Restaurants and Other Eating Places,D,D,D,3
Kansas,Cherokee,7225,Restaurants and Other Eating Places,31,90.3,9.7,28
Kansas,Cheyenne,7225,Restaurants and Other Eating Places,D,D,D,5
Kansas,Clark,7225,Restaurants and Other Eating Places,D,D,D,2
Kansas,Clay,7225,Restaurants and Other Eating Places,D,D,D,13
Kansas,Cloud,7225,Restaurants and Other Eating Places,21,85.7,14.3,18
Kansas,Coffey,7225,Restaurants and Other Eating Places,20,70,30,14
Kansas,Comanche,7225,Restaurants and Other Eating Places,D,D,D,3
Kansas,Cowley,7225,Restaurants and Other Eating Places,52,84.6,15.4,44
Kansas,Crawford,7225,Restaurants and Other Eating Places,64,84.4,15.6,54
Kansas,Dickinson,7225,Restaurants and Other Eating Places,32,81.3,18.8,26
Kansas,Doniphan,7225,Restaurants and Other Eating Places,D,D,D,6
Kansas,Douglas,7225,Restaurants and Other Eating Places,241,95,5,229
Kansas,Edwards,7225,Restaurants and Other Eating Places,D,D,D,4
Kansas,Elk,7225,Restaurants and Other Eating Places,D,D,D,5
Kansas,Ellis,7225,Restaurants and Other Eating Places,D,D,D,63
Kansas,Ellsworth,7225,Restaurants and Other Eating Places,D,D,D,8
Kansas,Finney,7225,Restaurants and Other Eating Places,73,87.7,12.3,64
Kansas,Ford,7225,Restaurants and Other Eating Places,70,74.3,25.7,52
Kansas,Franklin,7225,Restaurants and Other Eating Places,D,D,D,38
Kansas,Geary,7225,Restaurants and Other Eating Places,57,94.7,5.3,54
Kansas,Gove,7225,Restaurants and Other Eating Places,D,D,D,5
Kansas,Graham,7225,Restaurants and Other Eating Places,D,D,D,3
Kansas,Grant,7225,Restaurants and Other Eating Places,D,D,D,16
Kansas,Gray,7225,Restaurants and Other Eating Places,9,66.7,33.3,6
Kansas,Greenwood,7225,Restaurants and Other Eating Places,D,D,D,8
Kansas,Hamilton,7225,Restaurants and Other Eating Places,D,D,D,5
Kansas,Harper,7225,Restaurants and Other Eating Places,17,76.5,23.5,13
Kansas,Harvey,7225,Restaurants and Other Eating Places,64,84.4,15.6,54
Kansas,Haskell,7225,Restaurants and Other Eating Places,D,D,D,5
Kansas,Hodgeman,7225,Restaurants and Other Eating Places,D,D,D,1
Kansas,Jackson,7225,Restaurants and Other Eating Places,22,77.3,22.7,17
Kansas,Jefferson,7225,Restaurants and Other Eating Places,D,D,D,14
Kansas,Jewell,7225,Restaurants and Other Eating Places,D,D,D,6
Kansas,Johnson,7225,Restaurants and Other Eating Places,"1,071",93.1,6.9,997
Kansas,Kingman,7225,Restaurants and Other Eating Places,D,D,D,10
Kansas,Kiowa,7225,Restaurants and Other Eating Places,D,D,D,5
Kansas,Labette,7225,Restaurants and Other Eating Places,48,72.9,27.1,35
Kansas,Leavenworth,7225,Restaurants and Other Eating Places,89,87.6,12.4,78
Kansas,Lincoln,7225,Restaurants and Other Eating Places,D,D,D,2
Kansas,Linn,7225,Restaurants and Other Eating Places,D,D,D,7
Kansas,Lyon,7225,Restaurants and Other Eating Places,67,88.1,11.9,59
Kansas,McPherson,7225,Restaurants and Other Eating Places,58,87.9,12.1,51
Kansas,Marion,7225,Restaurants and Other Eating Places,24,75,25,18
Kansas,Marshall,7225,Restaurants and Other Eating Places,18,77.8,22.2,14
Kansas,Meade,7225,Restaurants and Other Eating Places,D,D,D,6
Kansas,Miami,7225,Restaurants and Other Eating Places,44,88.6,11.4,39
Kansas,Mitchell,7225,Restaurants and Other Eating Places,D,D,D,14
Kansas,Montgomery,7225,Restaurants and Other Eating Places,64,87.5,12.5,56
Kansas,Morris,7225,Restaurants and Other Eating Places,D,D,D,14
Kansas,Morton,7225,Restaurants and Other Eating Places,7,57.1,42.9,4
Kansas,Nemaha,7225,Restaurants and Other Eating Places,20,85,15,17
Kansas,Neosho,7225,Restaurants and Other Eating Places,24,75,25,18
Kansas,Ness,7225,Restaurants and Other Eating Places,D,D,D,3
Kansas,Norton,7225,Restaurants and Other Eating Places,D,D,D,9
Kansas,Osage,7225,Restaurants and Other Eating Places,21,81,19,17
Kansas,Osborne,7225,Restaurants and Other Eating Places,9,55.6,44.4,5
Kansas,Ottawa,7225,Restaurants and Other Eating Places,14,64.3,35.7,9
Kansas,Pawnee,7225,Restaurants and Other Eating Places,12,66.7,33.3,8
Kansas,Phillips,7225,Restaurants and Other Eating Places,D,D,D,12
Kansas,Pottawatomie,7225,Restaurants and Other Eating Places,39,76.9,23.1,30
Kansas,Rawlins,7225,Restaurants and Other Eating Places,D,D,D,6
Kansas,Reno,7225,Restaurants and Other Eating Places,111,89.2,10.8,99
Kansas,Republic,7225,Restaurants and Other Eating Places,12,58.3,41.7,7
Kansas,Rice,7225,Restaurants and Other Eating Places,D,D,D,18
Kansas,Riley,7225,Restaurants and Other Eating Places,114,95.6,4.4,109
Kansas,Rooks,7225,Restaurants and Other Eating Places,D,D,D,10
Kansas,Rush,7225,Restaurants and Other Eating Places,11,63.6,36.4,7
Kansas,Russell,7225,Restaurants and Other Eating Places,16,62.5,37.5,10
Kansas,Saline,7225,Restaurants and Other Eating Places,101,96,4,97
Kansas,Sedgwick,7225,Restaurants and Other Eating Places,"1,016",90.9,9.1,924
Kansas,Seward,7225,Restaurants and Other Eating Places,42,73.8,26.2,31
Kansas,Shawnee,7225,Restaurants and Other Eating Places,319,93.7,6.3,299
Kansas,Sherman,7225,Restaurants and Other Eating Places,19,84.2,15.8,16
Kansas,Smith,7225,Restaurants and Other Eating Places,D,D,D,6
Kansas,Stafford,7225,Restaurants and Other Eating Places,12,75,25,9
Kansas,Stanton,7225,Restaurants and Other Eating Places,D,D,D,6
Kansas,Stevens,7225,Restaurants and Other Eating Places,D,D,D,10
Kansas,Sumner,7225,Restaurants and Other Eating Places,35,88.6,11.4,31
Kansas,Thomas,7225,Restaurants and Other Eating Places,D,D,D,18
Kansas,Trego,7225,Restaurants and Other Eating Places,D,D,D,7
Kansas,Washington,7225,Restaurants and Other Eating Places,D,D,D,9
Kansas,Wichita,7225,Restaurants and Other Eating Places,D,D,D,2
Kansas,Wilson,7225,Restaurants and Other Eating Places,18,72.2,27.8,13
Kansas,Woodson,7225,Restaurants and Other Eating Places,D,D,D,8
Kansas,Wyandotte,7225,Restaurants and Other Eating Places,251,84.9,15.1,213
Kentucky,Adair,7225,Restaurants and Other Eating Places,20,80,20,16
Kentucky,Allen,7225,Restaurants and Other Eating Places,22,77.3,22.7,17
Kentucky,Anderson,7225,Restaurants and Other Eating Places,39,69.2,30.8,27
Kentucky,Ballard,7225,Restaurants and Other Eating Places,D,D,D,6
Kentucky,Barren,7225,Restaurants and Other Eating Places,86,84.9,15.1,73
Kentucky,Bell,7225,Restaurants and Other Eating Places,46,87,13,40
Kentucky,Boone,7225,Restaurants and Other Eating Places,267,93.3,6.7,249
Kentucky,Bourbon,7225,Restaurants and Other Eating Places,D,D,D,28
Kentucky,Boyd,7225,Restaurants and Other Eating Places,118,94.9,5.1,112
Kentucky,Boyle,7225,Restaurants and Other Eating Places,53,92.5,7.5,49
Kentucky,Bracken,7225,Restaurants and Other Eating Places,14,57.1,42.9,8
Kentucky,Breathitt,7225,Restaurants and Other Eating Places,13,61.5,38.5,8
Kentucky,Breckinridge,7225,Restaurants and Other Eating Places,19,68.4,31.6,13
Kentucky,Bullitt,7225,Restaurants and Other Eating Places,71,90.1,9.9,64
Kentucky,Butler,7225,Restaurants and Other Eating Places,D,D,D,11
Kentucky,Caldwell,7225,Restaurants and Other Eating Places,28,85.7,14.3,24
Kentucky,Calloway,7225,Restaurants and Other Eating Places,81,86.4,13.6,70
Kentucky,Campbell,7225,Restaurants and Other Eating Places,174,93.1,6.9,162
Kentucky,Carlisle,7225,Restaurants and Other Eating Places,D,D,D,7
Kentucky,Carroll,7225,Restaurants and Other Eating Places,24,75,25,18
Kentucky,Carter,7225,Restaurants and Other Eating Places,D,D,D,33
Kentucky,Casey,7225,Restaurants and Other Eating Places,13,76.9,23.1,10
Kentucky,Christian,7225,Restaurants and Other Eating Places,109,88.1,11.9,96
Kentucky,Clark,7225,Restaurants and Other Eating Places,D,D,D,53
Kentucky,Clay,7225,Restaurants and Other Eating Places,20,85,15,17
Kentucky,Clinton,7225,Restaurants and Other Eating Places,D,D,D,15
Kentucky,Cumberland,7225,Restaurants and Other Eating Places,D,D,D,6
Kentucky,Daviess,7225,Restaurants and Other Eating Places,176,87.5,12.5,154
Kentucky,Edmonson,7225,Restaurants and Other Eating Places,14,64.3,35.7,9
Kentucky,Estill,7225,Restaurants and Other Eating Places,D,D,D,17
Kentucky,Fayette,7225,Restaurants and Other Eating Places,709,91.5,8.5,649
Kentucky,Fleming,7225,Restaurants and Other Eating Places,10,60,40,6
Kentucky,Floyd,7225,Restaurants and Other Eating Places,53,81.1,18.9,43
Kentucky,Franklin,7225,Restaurants and Other Eating Places,99,87.9,12.1,87
Kentucky,Fulton,7225,Restaurants and Other Eating Places,12,75,25,9
Kentucky,Gallatin,7225,Restaurants and Other Eating Places,D,D,D,6
Kentucky,Garrard,7225,Restaurants and Other Eating Places,D,D,D,9
Kentucky,Grant,7225,Restaurants and Other Eating Places,33,90.9,9.1,30
Kentucky,Graves,7225,Restaurants and Other Eating Places,49,85.7,14.3,42
Kentucky,Grayson,7225,Restaurants and Other Eating Places,33,78.8,21.2,26
Kentucky,Green,7225,Restaurants and Other Eating Places,15,66.7,33.3,10
Kentucky,Greenup,7225,Restaurants and Other Eating Places,D,D,D,33
Kentucky,Hancock,7225,Restaurants and Other Eating Places,D,D,D,5
Kentucky,Hardin,7225,Restaurants and Other Eating Places,166,92.2,7.8,153
Kentucky,Harlan,7225,Restaurants and Other Eating Places,34,91.2,8.8,31
Kentucky,Harrison,7225,Restaurants and Other Eating Places,D,D,D,22
Kentucky,Hart,7225,Restaurants and Other Eating Places,21,61.9,38.1,13
Kentucky,Henderson,7225,Restaurants and Other Eating Places,73,91.8,8.2,67
Kentucky,Henry,7225,Restaurants and Other Eating Places,18,83.3,16.7,15
Kentucky,Hopkins,7225,Restaurants and Other Eating Places,78,79.5,20.5,62
Kentucky,Jefferson,7225,Restaurants and Other Eating Places,"1,581",91,9,"1,438"
Kentucky,Jessamine,7225,Restaurants and Other Eating Places,88,86.4,13.6,76
Kentucky,Johnson,7225,Restaurants and Other Eating Places,35,88.6,11.4,31
Kentucky,Kenton,7225,Restaurants and Other Eating Places,256,89.8,10.2,230
Kentucky,Knott,7225,Restaurants and Other Eating Places,15,60,40,9
Kentucky,Knox,7225,Restaurants and Other Eating Places,45,80,20,36
Kentucky,Larue,7225,Restaurants and Other Eating Places,D,D,D,11
Kentucky,Laurel,7225,Restaurants and Other Eating Places,92,90.2,9.8,83
Kentucky,Lawrence,7225,Restaurants and Other Eating Places,D,D,D,17
Kentucky,Lee,7225,Restaurants and Other Eating Places,10,40,60,4
Kentucky,Leslie,7225,Restaurants and Other Eating Places,9,44.4,55.6,4
Kentucky,Letcher,7225,Restaurants and Other Eating Places,27,74.1,25.9,20
Kentucky,Lewis,7225,Restaurants and Other Eating Places,11,63.6,36.4,7
Kentucky,Lincoln,7225,Restaurants and Other Eating Places,D,D,D,19
Kentucky,Livingston,7225,Restaurants and Other Eating Places,D,D,D,7
Kentucky,Logan,7225,Restaurants and Other Eating Places,39,82.1,17.9,32
Kentucky,McCracken,7225,Restaurants and Other Eating Places,178,92.7,7.3,165
Kentucky,McCreary,7225,Restaurants and Other Eating Places,D,D,D,13
Kentucky,Madison,7225,Restaurants and Other Eating Places,142,89.4,10.6,127
Kentucky,Magoffin,7225,Restaurants and Other Eating Places,D,D,D,12
Kentucky,Marion,7225,Restaurants and Other Eating Places,31,87.1,12.9,27
Kentucky,Marshall,7225,Restaurants and Other Eating Places,49,93.9,6.1,46
Kentucky,Martin,7225,Restaurants and Other Eating Places,14,78.6,21.4,11
Kentucky,Mason,7225,Restaurants and Other Eating Places,D,D,D,29
Kentucky,Meade,7225,Restaurants and Other Eating Places,D,D,D,21
Kentucky,Menifee,7225,Restaurants and Other Eating Places,D,D,D,2
Kentucky,Mercer,7225,Restaurants and Other Eating Places,29,82.8,17.2,24
Kentucky,Metcalfe,7225,Restaurants and Other Eating Places,14,57.1,42.9,8
Kentucky,Monroe,7225,Restaurants and Other Eating Places,21,81,19,17
Kentucky,Montgomery,7225,Restaurants and Other Eating Places,45,88.9,11.1,40
Kentucky,Morgan,7225,Restaurants and Other Eating Places,D,D,D,7
Kentucky,Muhlenberg,7225,Restaurants and Other Eating Places,48,79.2,20.8,38
Kentucky,Nelson,7225,Restaurants and Other Eating Places,63,85.7,14.3,54
Kentucky,Nicholas,7225,Restaurants and Other Eating Places,D,D,D,6
Kentucky,Ohio,7225,Restaurants and Other Eating Places,37,73,27,27
Kentucky,Oldham,7225,Restaurants and Other Eating Places,71,87.3,12.7,62
Kentucky,Owsley,7225,Restaurants and Other Eating Places,D,D,D,1
Kentucky,Pendleton,7225,Restaurants and Other Eating Places,D,D,D,9
Kentucky,Perry,7225,Restaurants and Other Eating Places,45,82.2,17.8,37
Kentucky,Pike,7225,Restaurants and Other Eating Places,94,87.2,12.8,82
Kentucky,Powell,7225,Restaurants and Other Eating Places,19,78.9,21.1,15
Kentucky,Pulaski,7225,Restaurants and Other Eating Places,98,86.7,13.3,85
Kentucky,Rockcastle,7225,Restaurants and Other Eating Places,19,84.2,15.8,16
Kentucky,Rowan,7225,Restaurants and Other Eating Places,D,D,D,40
Kentucky,Russell,7225,Restaurants and Other Eating Places,25,88,12,22
Kentucky,Scott,7225,Restaurants and Other Eating Places,84,89.3,10.7,75
Kentucky,Shelby,7225,Restaurants and Other Eating Places,65,83.1,16.9,54
Kentucky,Simpson,7225,Restaurants and Other Eating Places,40,90,10,36
Kentucky,Spencer,7225,Restaurants and Other Eating Places,D,D,D,14
Kentucky,Taylor,7225,Restaurants and Other Eating Places,33,90.9,9.1,30
Kentucky,Todd,7225,Restaurants and Other Eating Places,16,56.3,43.8,9
Kentucky,Trigg,7225,Restaurants and Other Eating Places,D,D,D,16
Kentucky,Union,7225,Restaurants and Other Eating Places,24,87.5,12.5,21
Kentucky,Warren,7225,Restaurants and Other Eating Places,250,86.8,13.2,217
Kentucky,Washington,7225,Restaurants and Other Eating Places,D,D,D,12
Kentucky,Webster,7225,Restaurants and Other Eating Places,15,80,20,12
Kentucky,Whitley,7225,Restaurants and Other Eating Places,D,D,D,54
Kentucky,Wolfe,7225,Restaurants and Other Eating Places,S,S,S,4
Kentucky,Woodford,7225,Restaurants and Other Eating Places,40,87.5,12.5,35
Louisiana,Acadia Parish,7225,Restaurants and Other Eating Places,88,69.3,30.7,61
Louisiana,Allen Parish,7225,Restaurants and Other Eating Places,25,76,24,19
Louisiana,Ascension Parish,7225,Restaurants and Other Eating Places,185,85.9,14.1,159
Louisiana,Assumption Parish,7225,Restaurants and Other Eating Places,12,75,25,9
Louisiana,Avoyelles Parish,7225,Restaurants and Other Eating Places,48,58.3,41.7,28
Louisiana,Beauregard Parish,7225,Restaurants and Other Eating Places,48,70.8,29.2,34
Louisiana,Bienville Parish,7225,Restaurants and Other Eating Places,D,D,D,12
Louisiana,Bossier Parish,7225,Restaurants and Other Eating Places,231,89.6,10.4,207
Louisiana,Caddo Parish,7225,Restaurants and Other Eating Places,460,84.6,15.4,389
Louisiana,Calcasieu Parish,7225,Restaurants and Other Eating Places,379,79.4,20.6,301
Louisiana,Caldwell Parish,7225,Restaurants and Other Eating Places,D,D,D,9
Louisiana,Cameron Parish,7225,Restaurants and Other Eating Places,13,23.1,76.9,3
Louisiana,Catahoula Parish,7225,Restaurants and Other Eating Places,11,54.5,45.5,6
Louisiana,Claiborne Parish,7225,Restaurants and Other Eating Places,13,76.9,23.1,10
Louisiana,Concordia Parish,7225,Restaurants and Other Eating Places,29,75.9,24.1,22
Louisiana,De Soto Parish,7225,Restaurants and Other Eating Places,32,71.9,28.1,23
Louisiana,East Baton Rouge Parish,7225,Restaurants and Other Eating Places,959,84.8,15.2,813
Louisiana,East Carroll Parish,7225,Restaurants and Other Eating Places,13,46.2,53.8,6
Louisiana,East Feliciana Parish,7225,Restaurants and Other Eating Places,19,63.2,36.8,12
Louisiana,Evangeline Parish,7225,Restaurants and Other Eating Places,27,59.3,40.7,16
Louisiana,Franklin Parish,7225,Restaurants and Other Eating Places,26,73.1,26.9,19
Louisiana,Grant Parish,7225,Restaurants and Other Eating Places,5,20,80,1
Louisiana,Iberia Parish,7225,Restaurants and Other Eating Places,109,71.6,28.4,78
Louisiana,Iberville Parish,7225,Restaurants and Other Eating Places,43,65.1,34.9,28
Louisiana,Jackson Parish,7225,Restaurants and Other Eating Places,D,D,D,13
Louisiana,Jefferson Parish,7225,Restaurants and Other Eating Places,"1,080",76.9,23.1,831
Louisiana,Jefferson Davis Parish,7225,Restaurants and Other Eating Places,48,87.5,12.5,42
Louisiana,Lafayette Parish,7225,Restaurants and Other Eating Places,629,79,21,497
Louisiana,Lafourche Parish,7225,Restaurants and Other Eating Places,136,73.5,26.5,100
Louisiana,La Salle Parish,7225,Restaurants and Other Eating Places,25,68,32,17
Louisiana,Lincoln Parish,7225,Restaurants and Other Eating Places,89,86.5,13.5,77
Louisiana,Livingston Parish,7225,Restaurants and Other Eating Places,189,74.6,25.4,141
Louisiana,Madison Parish,7225,Restaurants and Other Eating Places,D,D,D,9
Louisiana,Morehouse Parish,7225,Restaurants and Other Eating Places,D,D,D,22
Louisiana,Natchitoches Parish,7225,Restaurants and Other Eating Places,61,85.2,14.8,52
Louisiana,Orleans Parish,7225,Restaurants and Other Eating Places,"1,163",81.1,18.9,943
Louisiana,Ouachita Parish,7225,Restaurants and Other Eating Places,293,81.6,18.4,239
Louisiana,Plaquemines Parish,7225,Restaurants and Other Eating Places,52,63.5,36.5,33
Louisiana,Pointe Coupee Parish,7225,Restaurants and Other Eating Places,31,64.5,35.5,20
Louisiana,Rapides Parish,7225,Restaurants and Other Eating Places,227,81.9,18.1,186
Louisiana,Red River Parish,7225,Restaurants and Other Eating Places,11,63.6,36.4,7
Louisiana,Richland Parish,7225,Restaurants and Other Eating Places,27,63,37,17
Louisiana,Sabine Parish,7225,Restaurants and Other Eating Places,26,69.2,30.8,18
Louisiana,St. Bernard Parish,7225,Restaurants and Other Eating Places,86,73.3,26.7,63
Louisiana,St. Charles Parish,7225,Restaurants and Other Eating Places,84,73.8,26.2,62
Louisiana,St. Helena Parish,7225,Restaurants and Other Eating Places,D,D,D,2
Louisiana,St. James Parish,7225,Restaurants and Other Eating Places,D,D,D,21
Louisiana,St. John the Baptist Parish,7225,Restaurants and Other Eating Places,74,78.4,21.6,58
Louisiana,St. Landry Parish,7225,Restaurants and Other Eating Places,110,67.3,32.7,74
Louisiana,St. Martin Parish,7225,Restaurants and Other Eating Places,81,65.4,34.6,53
Louisiana,St. Mary Parish,7225,Restaurants and Other Eating Places,96,77.1,22.9,74
Louisiana,St. Tammany Parish,7225,Restaurants and Other Eating Places,555,87.2,12.8,484
Louisiana,Tangipahoa Parish,7225,Restaurants and Other Eating Places,239,80.8,19.2,193
Louisiana,Tensas Parish,7225,Restaurants and Other Eating Places,6,50,50,3
Louisiana,Terrebonne Parish,7225,Restaurants and Other Eating Places,219,85.8,14.2,188
Louisiana,Union Parish,7225,Restaurants and Other Eating Places,32,46.9,53.1,15
Louisiana,Vermilion Parish,7225,Restaurants and Other Eating Places,75,64,36,48
Louisiana,Vernon Parish,7225,Restaurants and Other Eating Places,63,81,19,51
Louisiana,Washington Parish,7225,Restaurants and Other Eating Places,73,64.4,35.6,47
Louisiana,Webster Parish,7225,Restaurants and Other Eating Places,64,76.6,23.4,49
Louisiana,West Baton Rouge Parish,7225,Restaurants and Other Eating Places,56,73.2,26.8,41
Louisiana,West Carroll Parish,7225,Restaurants and Other Eating Places,D,D,D,8
Louisiana,West Feliciana Parish,7225,Restaurants and Other Eating Places,19,73.7,26.3,14
Louisiana,Winn Parish,7225,Restaurants and Other Eating Places,15,80,20,12
