Location,Household Total,Median,Mean
"Polk County, Iowa",182537.0,64067.0,82405.0
"Pottawattamie County, Iowa",36094.0,55972.0,75890.0
"Scott County, Iowa",66527.0,54730.0,74517.0
"Story County, Iowa",37350.0,53371.0,70682.0
"Woodbury County, Iowa",38637.0,52324.0,68021.0
"Butler County, Kansas",24266.0,60182.0,71661.0
"Douglas County, Kansas",45572.0,56345.0,73186.0
"Johnson County, Kansas",225606.0,80553.0,107288.0
"Leavenworth County, Kansas",27174.0,68299.0,85412.0
"Riley County, Kansas",25523.0,50737.0,68478.0
"Sedgwick County, Kansas",195815.0,52193.0,68980.0
"Shawnee County, Kansas",70101.0,55710.0,71877.0
"Wyandotte County, Kansas",58524.0,43129.0,53676.0
"Boone County, Kentucky",46849.0,72374.0,92690.0
"Bullitt County, Kentucky",29037.0,65359.0,77718.0
"Campbell County, Kentucky",36461.0,62536.0,78640.0
"Christian County, Kentucky",25121.0,41140.0,52430.0
"Daviess County, Kentucky",39629.0,51764.0,69426.0
"Fayette County, Kentucky",127137.0,53178.0,77827.0
"Hardin County, Kentucky",39684.0,52148.0,67497.0
"Jefferson County, Kentucky",314161.0,51991.0,73595.0
"Santa Clara County, California",635687.0,111069.0,146813.0
"Santa Cruz County, California",96257.0,77613.0,106035.0
"Shasta County, California",72095.0,46724.0,64293.0
"Solano County, California",149172.0,73900.0,93929.0
"Sonoma County, California",187504.0,73929.0,97005.0
"Stanislaus County, California",172881.0,54305.0,73567.0
"Sutter County, California",32345.0,51397.0,69847.0
"Tulare County, California",135648.0,45881.0,61897.0
"Ventura County, California",268091.0,80135.0,105609.0
"Yolo County, California",73055.0,64904.0,91705.0
"Yuba County, California",26699.0,49259.0,66815.0
"Adams County, Colorado",163122.0,66033.0,80680.0
"Arapahoe County, Colorado",235942.0,70950.0,96722.0
"Boulder County, Colorado",123820.0,74615.0,105099.0
"Broomfield County, Colorado",26269.0,84349.0,111621.0
"Denver County, Colorado",292003.0,61105.0,90835.0
"Douglas County, Colorado",120125.0,109292.0,134850.0
"El Paso County, Colorado",257508.0,63882.0,80992.0
"Jefferson County, Colorado",230890.0,74186.0,96855.0
"Larimer County, Colorado",131407.0,66469.0,83934.0
"Mesa County, Colorado",60188.0,48846.0,60280.0
"Pueblo County, Colorado",62275.0,44677.0,59601.0
"Weld County, Colorado",102087.0,63400.0,81031.0
"Fairfield County, Connecticut",335318.0,90123.0,143628.0
"Hartford County, Connecticut",350369.0,69433.0,93118.0
"Litchfield County, Connecticut",74105.0,76993.0,100472.0
"Middlesex County, Connecticut",66002.0,79739.0,109052.0
"New Haven County, Connecticut",327560.0,66176.0,87686.0
"New London County, Connecticut",105113.0,70699.0,94956.0
"Tolland County, Connecticut",54068.0,81252.0,99096.0
"Windham County, Connecticut",44734.0,61608.0,75289.0
"Kent County, Delaware",64452.0,54140.0,66154.0
"New Castle County, Delaware",203782.0,67274.0,87144.0
"Sussex County, Delaware",82851.0,57734.0,78917.0
"District of Columbia, District of Columbia",281241.0,75506.0,114432.0
"Alachua County, Florida",94428.0,45304.0,63144.0
"Bay County, Florida",70330.0,49157.0,65029.0
"Brevard County, Florida",226021.0,51184.0,70367.0
"Broward County, Florida",681474.0,54212.0,79147.0
"Charlotte County, Florida",75147.0,44200.0,65643.0
"Citrus County, Florida",63581.0,39206.0,51521.0
"Clay County, Florida",74130.0,56315.0,74442.0
"Collier County, Florida",139522.0,61228.0,102009.0
"Columbia County, Florida",24215.0,42019.0,63101.0
"Duval County, Florida",353946.0,51980.0,69765.0
"Escambia County, Florida",118702.0,44788.0,60692.0
"Flagler County, Florida",41311.0,49395.0,63011.0
"Hernando County, Florida",74262.0,47253.0,59673.0
"Highlands County, Florida",38808.0,36490.0,48800.0
"Hillsborough County, Florida",514487.0,54588.0,76656.0
"Indian River County, Florida",55427.0,49072.0,79585.0
"Lake County, Florida",128888.0,50226.0,62886.0
"Lee County, Florida",261735.0,52909.0,74125.0
"Leon County, Florida",112119.0,51107.0,70567.0
"Manatee County, Florida",142465.0,51748.0,74782.0
"Marion County, Florida",134239.0,39383.0,54181.0
"Martin County, Florida",62976.0,54620.0,86713.0
"Miami-Dade County, Florida",880766.0,45935.0,71914.0
"Monroe County, Florida",30318.0,65717.0,87296.0
"Nassau County, Florida",30547.0,71515.0,90747.0
"Okaloosa County, Florida",76102.0,60026.0,77492.0
"Orange County, Florida",468515.0,51335.0,73013.0
"Osceola County, Florida",97569.0,51436.0,61195.0
"Palm Beach County, Florida",536446.0,57580.0,89403.0
"Pasco County, Florida",195628.0,46264.0,64970.0
"Pinellas County, Florida",407268.0,50036.0,71244.0
"Polk County, Florida",226429.0,46355.0,61587.0
"Putnam County, Florida",28025.0,38239.0,48699.0
"St. Johns County, Florida",84187.0,78581.0,107338.0
"St. Lucie County, Florida",111617.0,44804.0,58817.0
"Santa Rosa County, Florida",61817.0,63619.0,80033.0
"Sarasota County, Florida",176191.0,54989.0,79815.0
"Seminole County, Florida",167549.0,61311.0,81857.0
"Sumter County, Florida",51781.0,54562.0,68118.0
"Volusia County, Florida",214039.0,45366.0,60941.0
"Walton County, Florida",27207.0,56246.0,76992.0
"Barrow County, Georgia",24865.0,54256.0,63123.0
"Bartow County, Georgia",36430.0,51405.0,65210.0
"Bibb County, Georgia",57692.0,36724.0,55077.0
"Bulloch County, Georgia",26411.0,43982.0,55840.0
"Carroll County, Georgia",40516.0,51228.0,60771.0
"Catoosa County, Georgia",24743.0,55717.0,72197.0
"Chatham County, Georgia",110185.0,53964.0,76948.0
"Cherokee County, Georgia",84088.0,77950.0,97849.0
"Clarke County, Georgia",47563.0,34999.0,54050.0
"Clayton County, Georgia",94346.0,45252.0,55380.0
"Cobb County, Georgia",277949.0,70947.0,94624.0
"Columbia County, Georgia",47513.0,72737.0,90016.0
"Coweta County, Georgia",50503.0,71220.0,92716.0
"DeKalb County, Georgia",281356.0,56109.0,82314.0
"Dougherty County, Georgia",34264.0,37222.0,55510.0
"Douglas County, Georgia",48901.0,62445.0,78151.0
"Fayette County, Georgia",40046.0,80626.0,112239.0
"Floyd County, Georgia",35411.0,49865.0,66817.0
"Forsyth County, Georgia",72208.0,100909.0,117651.0
"Fulton County, Georgia",396184.0,63510.0,100521.0
"Glynn County, Georgia",31757.0,48926.0,68614.0
"Gwinnett County, Georgia",290405.0,67155.0,86057.0
"Hall County, Georgia",62038.0,54917.0,70477.0
"Henry County, Georgia",74473.0,66905.0,82479.0
"Houston County, Georgia",55901.0,62493.0,74099.0
"Liberty County, Georgia",22952.0,45138.0,55306.0
"Lowndes County, Georgia",40835.0,41449.0,60300.0
"Muscogee County, Georgia",73051.0,40060.0,58832.0
"Newton County, Georgia",35825.0,48628.0,64719.0
"Paulding County, Georgia",53249.0,60856.0,73020.0
"Richmond County, Georgia",75909.0,41419.0,54092.0
"Rockdale County, Georgia",30381.0,56820.0,70408.0
"Troup County, Georgia",24493.0,42371.0,56650.0
"Walker County, Georgia",25110.0,39209.0,55681.0
"Walton County, Georgia",30715.0,53202.0,69697.0
"Whitfield County, Georgia",35858.0,46399.0,62003.0
"Hawaii County, Hawaii",69818.0,55750.0,74492.0
"Honolulu County, Hawaii",309169.0,80513.0,101034.0
"Kauai County, Hawaii",23214.0,71344.0,85866.0
"Maui County, Hawaii",53612.0,72257.0,98524.0
