"Morris County, New Jersey","494,228.00"
"Polk County, Iowa","487,204.00"
"Lake County, Indiana","484,411.00"
"Clark County, Washington","481,857.00"
"Richmond County, New York","476,179.00"
"Hampden County, Massachusetts","470,406.00"
"Ada County, Idaho","469,966.00"
"Prince William County, Virginia","468,011.00"
"Seminole County, Florida","467,832.00"
"Tulare County, California","465,861.00"
"Washoe County, Nevada","465,735.00"
"Knox County, Tennessee","465,289.00"
"Onondaga County, New York","461,809.00"
"Virginia Beach city, Virginia","450,189.00"
"York County, Pennsylvania","448,273.00"
"Pinal County, Arizona","447,138.00"
"Solano County, California","446,610.00"
"Santa Barbara County, California","446,527.00"
"Burlington County, New Jersey","445,384.00"
"East Baton Rouge Parish, Louisiana","440,956.00"
"Monterey County, California","435,594.00"
"Jefferson Parish, Louisiana","434,051.00"
"Lucas County, Ohio","429,899.00"
"Sarasota County, Florida","426,718.00"
"Dakota County, Minnesota","425,423.00"
"Cameron County, Texas","423,908.00"
"Berks County, Pennsylvania","420,152.00"
"Clackamas County, Oregon","416,075.00"
"Hillsborough County, New Hampshire","415,247.00"
"Richland County, South Carolina","414,576.00"
"Mobile County, Alabama","413,757.00"
"Genesee County, Michigan","406,892.00"
"Loudoun County, Virginia","406,850.00"
"Charleston County, South Carolina","405,905.00"
"Waukesha County, Wisconsin","403,072.00"
"St. Charles County, Missouri","399,182.00"
"Manatee County, Florida","394,855.00"
"Placer County, California","393,149.00"
"Pulaski County, Arkansas","392,680.00"
"Orleans Parish, Louisiana","391,006.00"
"Butler County, Ohio","382,378.00"
"Orange County, New York","381,951.00"
"Lane County, Oregon","379,611.00"
"Forsyth County, North Carolina","379,099.00"
"Collier County, Florida","378,488.00"
"Allen County, Indiana","375,351.00"
"Stark County, Ohio","371,574.00"
"Washtenaw County, Michigan","370,963.00"
"Brazoria County, Texas","370,200.00"
"Mercer County, New Jersey","369,811.00"
"Lehigh County, Pennsylvania","368,100.00"
"Osceola County, Florida","367,990.00"
"Madison County, Alabama","366,519.00"
"Hamilton County, Tennessee","364,286.00"
"Nueces County, Texas","362,265.00"
"Marion County, Florida","359,977.00"
"Lake County, Florida","356,495.00"
"Bell County, Texas","355,642.00"
"Anoka County, Minnesota","353,813.00"
"Davis County, Utah","351,713.00"
"Westmoreland County, Pennsylvania","350,611.00"
"Larimer County, Colorado","350,518.00"
"Chesterfield County, Virginia","348,556.00"
"Marion County, Oregon","346,868.00"
"Horry County, South Carolina","344,147.00"
"Douglas County, Colorado","342,776.00"
"Galveston County, Texas","337,890.00"
"Cumberland County, North Carolina","332,330.00"
"Somerset County, New Jersey","331,164.00"
"Hamilton County, Indiana","330,086.00"
"Henrico County, Virginia","329,261.00"
"Boulder County, Colorado","326,078.00"
"Rockland County, New York","325,695.00"
"Rutherford County, Tennessee","324,890.00"
"Fayette County, Kentucky","323,780.00"
"Howard County, Maryland","323,196.00"
"St. Lucie County, Florida","321,128.00"
"San Juan Municipio, Puerto Rico","320,967.00"
"Luzerne County, Pennsylvania","317,646.00"
"Lancaster County, Nebraska","317,272.00"
"Durham County, North Carolina","316,739.00"
"Escambia County, Florida","315,534.00"
"Weld County, Colorado","314,305.00"
"Spartanburg County, South Carolina","313,888.00"
"Lorain County, Ohio","309,461.00"
"Rockingham County, New Hampshire","309,176.00"
